Street,From,To,Date,Time,Real.Spots,Street.Length,any_spot
Kearny Street,Kearny Street,Post Street,2/8/2014,18:36,0,52.369446,0
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/8/2014,7:35,0,63.787968,0
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/8/2014,8:15,0,63.787968,0
Post Street,Kearny Street,Post Street,2/8/2014,18:37,0,104.36296,0
Polk Street,Willow Street,Eddy Street,2/8/2014,9:52,1,52.7432,1
Van Ness Avenue,Clay Street,Washington Street,2/9/2014,11:08,0,98.93023,0
Pine Street,Larkin Street,Polk Street,2/9/2014,9:40,3,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,2/9/2014,9:40,3,139.4942,1
Van Ness Avenue,Van Ness Avenue,Bush Street,2/9/2014,8:14,1,39.027992,1
Polk Street,Clay Street,Washington Street,2/9/2014,8:33,3,98.98388,1
Polk Street,Jackson Street,Washington Street,2/9/2014,8:33,2,98.40858,1
Van Ness Avenue,Pacific Avenue,Broadway,2/9/2014,9:32,1,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,2/9/2014,11:10,0,104.314545,0
Washington Street,Van Ness Avenue,Polk Street,2/9/2014,9:50,6,139.37155,1
Washington Street,Polk Street,Larkin Street,2/9/2014,9:50,6,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,2/9/2014,8:11,3,139.32397,1
Polk Street,Bonita Street,Vallejo Street,2/9/2014,8:34,0,53.127136,0
Polk Street,Bonita Street,Green Street,2/9/2014,8:34,0,51.76525,0
Polk Street,Bonita Street,Green Street,2/9/2014,10:41,0,51.76525,0
Bush Street,Parking Entrance Lane,Chatham Place,2/10/2014,19:01,0,41.920464,0
Montgomery Street,Clay Street,Commercial Street,2/10/2014,17:28,0,50.629986,0
Montgomery Street,Clay Street,Commercial Street,2/10/2014,19:22,0,50.629986,0
Montgomery Street,Bush Street,Sutter Street,2/10/2014,17:30,0,105.38421,0
Pine Street,Battery Street,Sansome Street,2/10/2014,19:07,8,104.53795,1
Battery Street,Washington Street,Merchant Street,2/10/2014,17:43,7,48.13187,1
Taylor Street,Sutter Street,Bush Street,2/10/2014,18:59,0,105.05199,0
Stockton Street,Stockton Street,Jackson Street,2/10/2014,16:56,0,84.28298,0
Kearny Street,Kearny Street,Sutter Street,2/10/2014,17:32,0,41.051586,0
Kearny Street,Kearny Street,Sutter Street,2/10/2014,18:52,0,41.051586,0
Kearny Street,Kearny Street,Columbus Avenue,2/10/2014,17:36,0,55.823406,0
Sutter Street,Powell Street,Sutter Street,2/10/2014,18:58,0,103.21066,0
Kearny Street,Geary Street,Maiden Lane,2/10/2014,17:32,0,52.976276,0
Kearny Street,Kearny Street,Post Street,2/10/2014,17:32,0,52.369446,0
Montgomery Street,Montgomery Street,Jackson Street,2/10/2014,17:28,0,28.596806,0
Montgomery Street,Verdi Place,Pacific Avenue,2/10/2014,17:27,0,66.27028,0
Montgomery Street,Verdi Place,Broadway,2/10/2014,17:27,0,37.796173,0
Stockton Street,Stockton Tunnel,Stockton Street,2/10/2014,16:59,0,35.786472,0
Mission Street,11th Street,Mission Street,2/10/2014,16:35,0,139.6519,0
Taylor Street,Turk Street,Eddy Street,2/10/2014,16:19,2,104.8531,1
Montgomery Street,Washington Street,Montgomery Street,2/10/2014,17:28,0,39.439125,0
Montgomery Street,Jackson Street,Montgomery Street,2/10/2014,17:28,1,62.230865,1
Kearny Street,Hardie Place,Bush Street,2/10/2014,17:33,0,54.379284,0
Kearny Street,Hardie Place,Bush Street,2/10/2014,18:52,0,54.379284,0
Mason Street,Sutter Street,Mason Street,2/10/2014,16:40,0,53.208504,0
Sutter Street,Mason Street,Taylor Street,2/10/2014,18:59,0,146.40962,0
Washington Street,Hotaling Street,Columbus Avenue,2/10/2014,19:32,1,51.84337,1
Battery Street,Halleck Street,California Street,2/10/2014,17:45,7,54.14309,1
Battery Street,California Street,Pine Street,2/10/2014,17:45,5,107.501144,1
Pine Street,Montgomery Street,Kearny Street,2/10/2014,19:09,2,146.75189,1
Bush Street,Taylor Street,Mason Street,2/10/2014,19:00,0,146.52574,0
Kearny Street,Nottingham Place,Broadway,2/10/2014,17:10,2,51.50119,1
Bush Street,Parking Entrance Lane,Chatham Place,2/11/2014,15:39,2,41.920464,1
Montgomery Street,Clay Street,Commercial Street,2/11/2014,13:15,0,50.629986,0
Stockton Street,Green Street,Union Street,2/11/2014,13:30,0,104.87597,0
Montgomery Street,Bush Street,Sutter Street,2/11/2014,13:21,0,105.38421,0
Pine Street,Battery Street,Sansome Street,2/11/2014,14:49,0,104.53795,0
Battery Street,Washington Street,Merchant Street,2/11/2014,12:28,0,48.13187,0
Columbus Avenue,Kearny Street,Pacific Avenue,2/11/2014,12:15,1,28.695284,1
Columbus Avenue,Kearny Street,Pacific Avenue,2/11/2014,13:13,0,28.695284,0
Stockton Street,Stockton Street,Jackson Street,2/11/2014,13:38,0,84.28298,0
Kearny Street,Kearny Street,Sutter Street,2/11/2014,13:25,0,41.051586,0
Kearny Street,Kearny Street,Columbus Avenue,2/11/2014,13:28,0,55.823406,0
Kearny Street,Geary Street,Maiden Lane,2/11/2014,13:25,0,52.976276,0
Kearny Street,Kearny Street,Post Street,2/11/2014,13:25,0,52.369446,0
Stockton Street,Stockton Tunnel,Stockton Street,2/11/2014,13:43,0,35.786472,0
Montgomery Street,Washington Street,Montgomery Street,2/11/2014,15:29,1,39.439125,1
Kearny Street,Hardie Place,Bush Street,2/11/2014,13:26,0,54.379284,0
Washington Street,Hotaling Street,Columbus Avenue,2/11/2014,13:15,0,51.84337,0
Washington Street,Hotaling Street,Columbus Avenue,2/11/2014,15:24,0,51.84337,0
Montgomery Street,Washington Street,Montgomery Street,2/11/2014,12:17,0,51.695087,0
Montgomery Street,Washington Street,Montgomery Street,2/11/2014,13:15,0,51.695087,0
Battery Street,Halleck Street,California Street,2/11/2014,12:29,0,54.14309,0
Battery Street,California Street,Pine Street,2/11/2014,12:29,0,107.501144,0
Kearny Street,Nottingham Place,Broadway,2/11/2014,13:28,0,51.50119,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,2/12/2014,7:34,0,52.51784,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/12/2014,7:34,2,52.74427,1
Van Ness Avenue,Van Ness Avenue,Turk Street,2/12/2014,7:34,0,52.836143,0
Van Ness Avenue,Bush Street,Fern Street,2/12/2014,7:33,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/12/2014,7:33,0,52.191193,0
Mission Street,Julia Street,Angelo's Alley,2/12/2014,14:22,2,26.680704,1
Polk Street,Turk Street,Elm Street,2/12/2014,9:36,0,52.597584,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/12/2014,7:36,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/12/2014,7:36,0,154.60497,0
Grove Street,Dr Carlton P Goodlett Place,Van Ness Avenue,2/12/2014,9:07,0,140.25523,0
Grove Street,Dr Carlton P Goodlett Place,Van Ness Avenue,2/12/2014,10:46,0,140.25523,0
Polk Street,Grove Street,Dr Tom Waddell Place,2/12/2014,10:47,0,58.041042,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/12/2014,7:37,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/12/2014,9:02,0,40.67155,0
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/12/2014,7:35,0,63.262,0
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/12/2014,7:35,6,44.81567,1
Van Ness Avenue,Van Ness Avenue,Bush Street,2/12/2014,7:33,0,39.027992,0
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/12/2014,7:37,8,63.787968,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/12/2014,9:02,0,63.787968,0
Mission Street,11th Street,Mission Street,2/12/2014,13:00,0,139.6519,0
Mission Street,11th Street,Mission Street,2/12/2014,14:24,1,139.6519,1
Polk Street,Willow Street,Eddy Street,2/12/2014,9:46,2,52.7432,1
Mission Street,Julia Street,Angelo's Alley,2/14/2014,20:18,3,26.680704,1
Mission Street,6th Street,7th Street,2/14/2014,20:17,6,276.52966,1
23rd Street,Mission Street,Bartlett Street,2/15/2014,16:52,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,2/15/2014,16:52,0,97.607445,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/15/2014,7:54,1,52.74427,1
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/15/2014,9:23,0,52.74427,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/15/2014,7:54,0,52.836143,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/15/2014,7:55,0,52.04572,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/15/2014,9:46,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/15/2014,7:55,0,154.60497,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/15/2014,9:45,0,154.60497,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/15/2014,7:56,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/15/2014,8:48,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/15/2014,9:59,0,40.67155,0
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/15/2014,7:55,2,63.262,1
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/15/2014,9:34,0,63.262,0
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/15/2014,7:55,0,44.81567,0
23rd Street,South Van Ness Avenue,Capp Street,2/15/2014,16:50,1,96.3013,1
23rd Street,Mission Street,Capp Street,2/15/2014,16:50,1,96.04013,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/15/2014,7:56,4,63.787968,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/15/2014,8:48,0,63.787968,0
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/15/2014,9:59,3,63.787968,1
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/15/2014,7:41,1,56.007236,1
Polk Street,Willow Street,Eddy Street,2/15/2014,10:42,1,52.7432,1
Larkin Street,McAllister Street,Fulton Street,2/15/2014,7:39,0,102.83145,0
Mission Street,25th Street,26th Street,2/15/2014,18:39,0,179.13297,0
Jones Street,Ellis Street,Eddy Street,2/16/2014,12:50,0,104.76797,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,2/16/2014,11:13,0,52.51784,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/16/2014,11:14,0,52.74427,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/16/2014,11:15,0,52.836143,0
Van Ness Avenue,Clay Street,Washington Street,2/16/2014,10:31,0,98.93023,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/16/2014,11:13,0,52.191193,0
Pine Street,Larkin Street,Polk Street,2/16/2014,7:44,5,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,2/16/2014,7:45,3,139.4942,1
Van Ness Avenue,Van Ness Avenue,Grove Street,2/16/2014,11:16,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/16/2014,11:16,0,154.60497,0
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/16/2014,11:15,0,63.262,0
Van Ness Avenue,Van Ness Avenue,Bush Street,2/16/2014,11:12,1,39.027992,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/16/2014,11:17,5,63.787968,1
Polk Street,Clay Street,Washington Street,2/16/2014,9:21,2,98.98388,1
Polk Street,Clay Street,Washington Street,2/16/2014,10:59,0,98.98388,0
Polk Street,Jackson Street,Washington Street,2/16/2014,9:21,1,98.40858,1
Polk Street,Jackson Street,Washington Street,2/16/2014,10:59,2,98.40858,1
Van Ness Avenue,Pacific Avenue,Broadway,2/16/2014,8:31,4,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,2/16/2014,10:32,0,104.314545,0
Washington Street,Van Ness Avenue,Polk Street,2/16/2014,8:17,4,139.37155,1
Washington Street,Polk Street,Larkin Street,2/16/2014,8:18,2,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,2/16/2014,8:16,1,139.32397,1
Polk Street,Bonita Street,Vallejo Street,2/16/2014,9:22,0,53.127136,0
Polk Street,Bonita Street,Vallejo Street,2/16/2014,11:01,0,53.127136,0
Polk Street,Bonita Street,Green Street,2/16/2014,9:22,0,51.76525,0
Polk Street,Bonita Street,Green Street,2/16/2014,11:01,2,51.76525,1
Bryant Street,Mariposa Street,17th Street,2/17/2014,17:21,0,141.70232,0
Bush Street,Parking Entrance Lane,Chatham Place,2/24/2014,9:16,1,41.920464,1
Stockton Street,Green Street,Union Street,2/24/2014,10:06,0,104.87597,0
Stockton Street,Green Street,Union Street,2/24/2014,10:43,0,104.87597,0
Larkin Street,Cedar Street,Post Street,2/24/2014,9:12,0,52.32425,0
Columbus Avenue,Kearny Street,Pacific Avenue,2/24/2014,11:06,0,28.695284,0
Taylor Street,Sutter Street,Bush Street,2/24/2014,7:53,0,105.05199,0
Stockton Street,Stockton Street,Jackson Street,2/24/2014,10:41,0,84.28298,0
Larkin Street,O'Farrell Street,Larkin Street,2/24/2014,9:11,1,52.4134,1
Larkin Street,Myrtle Street,Geary Street,2/24/2014,9:11,3,52.188343,1
Larkin Street,Larkin Street,Golden Gate Avenue,2/24/2014,9:09,0,95.939,0
Larkin Street,Sutter Street,Larkin Street,2/24/2014,9:13,1,48.555763,1
Taylor Street,Turk Street,Eddy Street,2/24/2014,7:51,2,104.8531,1
Taylor Street,O'Farrell Street,Geary Street,2/24/2014,7:52,1,104.98754,1
Larkin Street,McAllister Street,Fulton Street,2/24/2014,9:08,0,102.83145,0
Washington Street,Hotaling Street,Columbus Avenue,2/24/2014,10:38,0,51.84337,0
Montgomery Street,Washington Street,Montgomery Street,2/24/2014,11:07,0,51.695087,0
Battery Street,Halleck Street,California Street,2/24/2014,7:44,0,54.14309,0
Battery Street,Halleck Street,California Street,2/24/2014,11:10,0,54.14309,0
Battery Street,California Street,Pine Street,2/24/2014,7:44,0,107.501144,0
Battery Street,California Street,Pine Street,2/24/2014,11:10,0,107.501144,0
Larkin Street,Turk Street,Eddy Street,2/24/2014,9:10,1,104.79967,1
Bush Street,Taylor Street,Mason Street,2/24/2014,9:15,2,146.52574,1
Jones Street,Ellis Street,Eddy Street,2/25/2014,11:18,0,104.76797,0
Bush Street,Parking Entrance Lane,Chatham Place,2/25/2014,10:31,0,41.920464,0
Stockton Street,Green Street,Union Street,2/25/2014,9:51,2,104.87597,1
Taylor Street,Sutter Street,Bush Street,2/25/2014,9:41,0,105.05199,0
Taylor Street,Sutter Street,Bush Street,2/25/2014,10:29,1,105.05199,1
Stockton Street,Stockton Street,Jackson Street,2/25/2014,10:12,0,84.28298,0
Sutter Street,Powell Street,Sutter Street,2/25/2014,10:28,0,103.21066,0
Taylor Street,O'Farrell Street,Geary Street,2/25/2014,9:40,0,104.98754,0
Sutter Street,Mason Street,Taylor Street,2/25/2014,10:28,0,146.40962,0
Washington Street,Hotaling Street,Columbus Avenue,2/25/2014,10:54,0,51.84337,0
Bush Street,Taylor Street,Mason Street,2/25/2014,10:29,0,146.52574,0
Jones Street,Bush Street,Sutter Street,2/25/2014,11:17,0,105.07395,0
Jones Street,Sutter Street,Jones Street,2/25/2014,11:17,0,72.91717,0
Jones Street,Post Street,Colin Place,2/25/2014,11:17,0,32.07858,0
Jones Street,Colin Place,Geary Street,2/25/2014,11:17,0,72.54509,0
Jones Street,Antonio Street,Ellis Street,2/25/2014,11:18,1,51.088688,1
Van Ness Avenue,Bush Street,Austin Street,2/26/2014,18:36,0,52.384674,0
Van Ness Avenue,Clay Street,Washington Street,2/26/2014,15:53,0,98.93023,0
Van Ness Avenue,Bush Street,Fern Street,2/26/2014,18:48,0,52.405315,0
Van Ness Avenue,Pacific Avenue,Broadway,2/26/2014,15:54,0,104.314545,0
23rd Street,Mission Street,Bartlett Street,2/28/2014,19:55,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,2/28/2014,19:55,0,97.607445,0
23rd Street,South Van Ness Avenue,Capp Street,2/28/2014,19:56,0,96.3013,0
23rd Street,Mission Street,Capp Street,2/28/2014,19:56,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,2/28/2014,16:54,7,141.70232,1
Mission Street,25th Street,26th Street,2/28/2014,18:14,2,179.13297,1
23rd Street,Mission Street,Bartlett Street,3/1/2014,16:59,3,96.03711,1
23rd Street,Bartlett Street,Valencia Street,3/1/2014,16:59,4,97.607445,1
Jessie Street,New Montgomery Street,Annie Street,3/1/2014,9:37,0,97.18296,0
23rd Street,South Van Ness Avenue,Capp Street,3/1/2014,17:00,2,96.3013,1
23rd Street,Mission Street,Capp Street,3/1/2014,17:00,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,3/1/2014,19:30,6,141.70232,1
Mission Street,25th Street,26th Street,3/1/2014,18:31,0,179.13297,0
23rd Street,Mission Street,Bartlett Street,3/2/2014,11:09,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,3/2/2014,11:09,0,97.607445,0
23rd Street,South Van Ness Avenue,Capp Street,3/2/2014,11:10,1,96.3013,1
23rd Street,Mission Street,Capp Street,3/2/2014,11:10,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,3/2/2014,10:25,0,141.70232,0
Mission Street,25th Street,26th Street,3/2/2014,9:08,4,179.13297,1
Bush Street,Parking Entrance Lane,Chatham Place,3/3/2014,12:58,0,41.920464,0
Jessie Street,New Montgomery Street,Annie Street,3/3/2014,15:48,0,97.18296,0
Pine Street,Battery Street,Sansome Street,3/3/2014,12:54,0,104.53795,0
Pine Street,Battery Street,Sansome Street,3/3/2014,13:48,0,104.53795,0
Kearny Street,Geary Street,Maiden Lane,3/3/2014,13:23,0,52.976276,0
Kearny Street,Kearny Street,Post Street,3/3/2014,13:24,0,52.369446,0
Post Street,Kearny Street,Post Street,3/3/2014,13:26,0,104.36296,0
Mission Street,11th Street,Mission Street,3/3/2014,11:00,0,139.6519,0
Battery Street,California Street,Pine Street,3/3/2014,13:48,0,107.501144,0
Pine Street,Montgomery Street,Kearny Street,3/3/2014,12:56,0,146.75189,0
Mission Street,11th Street,Mission Street,3/4/2014,8:53,0,139.6519,0
Mission Street,11th Street,Mission Street,3/4/2014,9:33,0,139.6519,0
23rd Street,Mission Street,Bartlett Street,3/5/2014,21:56,6,96.03711,1
23rd Street,Bartlett Street,Valencia Street,3/5/2014,21:56,1,97.607445,1
23rd Street,South Van Ness Avenue,Capp Street,3/5/2014,21:55,2,96.3013,1
23rd Street,Mission Street,Capp Street,3/5/2014,21:55,4,96.04013,1
Bryant Street,Mariposa Street,17th Street,3/5/2014,18:32,4,141.70232,1
Mission Street,25th Street,26th Street,3/5/2014,19:36,0,179.13297,0
23rd Street,Mission Street,Bartlett Street,3/7/2014,21:05,2,96.03711,1
23rd Street,Bartlett Street,Valencia Street,3/7/2014,21:05,0,97.607445,0
23rd Street,South Van Ness Avenue,Capp Street,3/7/2014,21:04,0,96.3013,0
23rd Street,Mission Street,Capp Street,3/7/2014,21:04,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,3/7/2014,18:35,11,141.70232,1
Mission Street,25th Street,26th Street,3/7/2014,19:40,0,179.13297,0
23rd Street,Mission Street,Bartlett Street,3/8/2014,19:46,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,3/8/2014,19:46,0,97.607445,0
23rd Street,South Van Ness Avenue,Capp Street,3/8/2014,19:45,0,96.3013,0
23rd Street,Mission Street,Capp Street,3/8/2014,19:45,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,3/8/2014,20:19,6,141.70232,1
Mission Street,25th Street,26th Street,3/8/2014,21:09,0,179.13297,0
23rd Street,Mission Street,Bartlett Street,3/9/2014,16:08,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,3/9/2014,16:08,2,97.607445,1
23rd Street,South Van Ness Avenue,Capp Street,3/9/2014,16:09,1,96.3013,1
23rd Street,Mission Street,Capp Street,3/9/2014,16:09,2,96.04013,1
Bryant Street,Mariposa Street,17th Street,3/9/2014,11:09,2,141.70232,1
Bryant Street,Mariposa Street,17th Street,3/9/2014,13:12,1,141.70232,1
Mission Street,25th Street,26th Street,3/9/2014,9:37,4,179.13297,1
Mission Street,25th Street,26th Street,3/9/2014,13:54,5,179.13297,1
Mission Street,Julia Street,Angelo's Alley,3/10/2014,12:20,0,26.680704,0
Mission Street,6th Street,7th Street,3/10/2014,10:59,4,276.52966,1
Mission Street,6th Street,7th Street,3/10/2014,12:19,0,276.52966,0
Mission Street,6th Street,7th Street,3/10/2014,13:14,10,276.52966,1
Mission Street,6th Street,7th Street,3/10/2014,15:56,0,276.52966,0
Jessie Street,New Montgomery Street,Annie Street,3/13/2014,14:59,0,97.18296,0
Pine Street,Larkin Street,Polk Street,3/13/2014,16:16,0,146.41655,0
Pine Street,Polk Street,Van Ness Avenue,3/13/2014,16:16,0,139.4942,0
Van Ness Avenue,Clay Street,Washington Street,3/14/2014,17:58,0,98.93023,0
Van Ness Avenue,Clay Street,Washington Street,3/14/2014,21:05,0,98.93023,0
Pine Street,Larkin Street,Polk Street,3/14/2014,18:55,0,146.41655,0
Pine Street,Larkin Street,Polk Street,3/14/2014,21:03,2,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,3/14/2014,17:57,0,139.4942,0
Pine Street,Polk Street,Van Ness Avenue,3/14/2014,18:56,9,139.4942,1
Pine Street,Polk Street,Van Ness Avenue,3/14/2014,21:04,0,139.4942,0
Polk Street,Clay Street,Washington Street,3/14/2014,18:23,0,98.98388,0
Polk Street,Jackson Street,Washington Street,3/14/2014,18:22,0,98.40858,0
Polk Street,Jackson Street,Washington Street,3/14/2014,20:24,0,98.40858,0
Van Ness Avenue,Pacific Avenue,Broadway,3/14/2014,17:58,0,104.314545,0
Van Ness Avenue,Pacific Avenue,Broadway,3/14/2014,19:30,1,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,3/14/2014,21:05,0,104.314545,0
Washington Street,Van Ness Avenue,Polk Street,3/14/2014,19:23,0,139.37155,0
Washington Street,Van Ness Avenue,Polk Street,3/14/2014,21:39,0,139.37155,0
Washington Street,Polk Street,Larkin Street,3/14/2014,19:24,0,146.47252,0
Washington Street,Polk Street,Larkin Street,3/14/2014,21:39,1,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,3/14/2014,19:22,0,139.32397,0
Jackson Street,Polk Street,Van Ness Avenue,3/14/2014,21:33,0,139.32397,0
Polk Street,Bonita Street,Vallejo Street,3/14/2014,18:21,1,53.127136,1
Polk Street,Bonita Street,Vallejo Street,3/14/2014,20:21,0,53.127136,0
Polk Street,Bonita Street,Green Street,3/14/2014,18:20,0,51.76525,0
Polk Street,Bonita Street,Green Street,3/14/2014,20:21,0,51.76525,0
Polk Street,Ellis Street,Olive Street,3/15/2014,18:51,1,52.74021,1
Polk Street,Ellis Street,Olive Street,3/15/2014,21:16,0,52.74021,0
Polk Street,Alice B. Toklas Place,O'Farrell Street,3/15/2014,18:51,3,52.3586,1
Polk Street,Alice B. Toklas Place,O'Farrell Street,3/15/2014,21:19,0,52.3586,0
Leavenworth Street,Eddy Street,Ellis Street,3/15/2014,18:34,0,104.76384,0
Leavenworth Street,Eddy Street,Ellis Street,3/15/2014,19:40,0,104.76384,0
Leavenworth Street,Eddy Street,Ellis Street,3/15/2014,20:44,0,104.76384,0
Jones Street,Ellis Street,Eddy Street,3/15/2014,18:30,0,104.76797,0
Jones Street,Ellis Street,Eddy Street,3/15/2014,19:41,0,104.76797,0
Jones Street,Ellis Street,Eddy Street,3/15/2014,20:41,0,104.76797,0
Van Ness Avenue,Post Street,Hemlock Street,3/15/2014,18:13,4,52.505486,1
Van Ness Avenue,Post Street,Hemlock Street,3/15/2014,19:02,0,52.505486,0
Van Ness Avenue,Post Street,Hemlock Street,3/15/2014,20:06,0,52.505486,0
Van Ness Avenue,Post Street,Hemlock Street,3/15/2014,21:07,0,52.505486,0
Bush Street,Parking Entrance Lane,Chatham Place,3/15/2014,10:02,0,41.920464,0
Montgomery Street,Clay Street,Commercial Street,3/15/2014,8:22,0,50.629986,0
Montgomery Street,Bush Street,Sutter Street,3/15/2014,8:23,0,105.38421,0
Geary Street,Jones Street,Geary Street,3/15/2014,19:22,0,109.843506,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,3/15/2014,19:25,0,52.51784,0
Van Ness Avenue,Bush Street,Austin Street,3/15/2014,18:14,5,52.384674,1
Van Ness Avenue,Bush Street,Austin Street,3/15/2014,20:25,5,52.384674,1
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,3/15/2014,18:13,0,52.317448,0
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,3/15/2014,19:00,0,52.317448,0
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,3/15/2014,20:05,0,52.317448,0
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,3/15/2014,21:21,0,52.317448,0
Van Ness Avenue,Daniel Burnham Court,Post Street,3/15/2014,21:07,0,52.191193,0
Post Street,Larkin Street,Meacham Place,3/15/2014,19:19,0,116.305824,0
Post Street,Larkin Street,Meacham Place,3/15/2014,21:01,0,116.305824,0
Post Street,Larkin Street,Meacham Place,3/15/2014,21:36,0,116.305824,0
Pine Street,Battery Street,Sansome Street,3/15/2014,9:56,0,104.53795,0
Polk Street,Turk Street,Elm Street,3/15/2014,18:52,8,52.597584,1
Larkin Street,Cedar Street,Post Street,3/15/2014,18:46,0,52.32425,0
Larkin Street,Cedar Street,Post Street,3/15/2014,20:54,0,52.32425,0
Geary Street,Larkin Street,Polk Street,3/15/2014,19:24,0,146.40805,0
Geary Street,Larkin Street,Polk Street,3/15/2014,21:18,0,146.40805,0
Battery Street,Washington Street,Merchant Street,3/15/2014,8:14,1,48.13187,1
Pine Street,Larkin Street,Polk Street,3/15/2014,18:47,2,146.41655,1
Pine Street,Larkin Street,Polk Street,3/15/2014,20:55,1,146.41655,1
Van Ness Avenue,Van Ness Avenue,Grove Street,3/15/2014,18:10,0,43.249866,0
Van Ness Avenue,Van Ness Avenue,Grove Street,3/15/2014,18:59,0,43.249866,0
Van Ness Avenue,Van Ness Avenue,Grove Street,3/15/2014,20:04,0,43.249866,0
Taylor Street,Sutter Street,Bush Street,3/15/2014,8:58,0,105.05199,0
Taylor Street,Sutter Street,Bush Street,3/15/2014,10:32,0,105.05199,0
Taylor Street,Sutter Street,Bush Street,3/15/2014,18:28,1,105.05199,1
Taylor Street,Sutter Street,Bush Street,3/15/2014,20:38,0,105.05199,0
Stockton Street,Stockton Street,Jackson Street,3/15/2014,7:36,0,84.28298,0
Stockton Street,Stockton Street,Jackson Street,3/15/2014,9:22,0,84.28298,0
Larkin Street,O'Farrell Street,Larkin Street,3/15/2014,18:46,4,52.4134,1
Larkin Street,O'Farrell Street,Larkin Street,3/15/2014,20:53,2,52.4134,1
Larkin Street,Myrtle Street,Geary Street,3/15/2014,18:46,0,52.188343,0
Larkin Street,Myrtle Street,Geary Street,3/15/2014,20:53,0,52.188343,0
Grove Street,Dr Carlton P Goodlett Place,Van Ness Avenue,3/15/2014,19:59,11,140.25523,1
Larkin Street,Larkin Street,Golden Gate Avenue,3/15/2014,18:44,0,95.939,0
Larkin Street,Larkin Street,Golden Gate Avenue,3/15/2014,21:14,5,95.939,1
Geary Street,Leavenworth Street,Hyde Street,3/15/2014,19:22,0,146.58632,0
Kearny Street,Kearny Street,Sutter Street,3/15/2014,8:19,0,41.051586,0
Sutter Street,Powell Street,Sutter Street,3/15/2014,10:20,0,103.21066,0
